time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1731517752999492600,103.25249267578126,200.47375237662345,1.0915456031338682,28.69129870933826,40.09554369484921,232.88375222403556,177.1313471310105,4.732306843972967,3.380800048402072,-88.2300676198346,1.7794666242962365
1731517753999487000,104.25248706054687,200.61905125156045,0.6864336612502038,34.713446753519314,40.095538679324726,233.02905109897256,179.1245349741981,4.722859022410312,3.393985811288307,-88.2300687670878,1.0827973898494019
1731517754999481600,105.25248168945312,200.5567257590592,1.08627932690314,32.33269594165809,40.095520427911985,232.9667256064713,181.11872908072846,4.73078716728789,3.382926220096007,-88.23007015940678,1.5807594102178795
1731517755999475700,106.25247583007813,200.43162535410374,0.5904263675007029,31.178318028194106,40.095512382525165,232.84162520151585,178.8423654965613,4.723622184906799,3.3929235899214043,-88.23006945458717,1.055138109714887
1731517756999470000,107.25246997070313,200.39849066361785,1.0914147854250664,32.402551724248504,40.09549477672149,232.80849051102996,178.64570736536695,4.731899754106572,3.381369803774055,-88.23006903609428,1.5759470449735804
1731517757999465000,108.25246484375,200.36377174407244,0.5981778667739834,31.856019240656085,40.09548727274142,232.77377159148455,176.9044001839902,4.724119861649287,3.3922306179797914,-88.2300682594168,1.0583501552020738
1731517758999459300,109.25245922851562,200.28253175131977,1.0944567161731444,32.21897865623344,40.09546892343118,232.69253159873188,178.44546376397798,4.731699007359312,3.3816507117891006,-88.23006817716767,1.5869292808734985
1731517759999453400,110.25245336914062,200.37293097376823,0.49212727928520483,27.050719859956253,40.09546101943506,232.78293082118034,175.02175311230053,4.723851035762588,3.3926049614880833,-88.23006553107506,1.046161894584838
1731517760999448300,111.2524482421875,199.98055693972856,1.0952948792796051,33.2899211661459,40.09544420582568,232.39055678714067,178.4294949554416,4.731242570004479,3.3822892804380653,-88.23006668121022,1.5284652479143521
1731517761999442700,112.25244262695313,200.07564751431346,0.49106297396984117,26.717274453757565,40.09543450388408,232.48564736172557,179.09246320203167,4.724508211132143,3.3916897257464154,-88.23006638400186,1.053177863163716
1731517762999436800,113.25243676757813,199.70790440868586,1.0936448196207587,32.549925771168816,40.095416833997334,232.11790425609797,179.0567763902541,4.731873922133044,3.3814059528288056,-88.23006582098881,1.5645842424925411
1731517763999431400,114.25243139648437,199.92007984314114,0.4777104558637345,26.232872953118235,40.09540773962355,232.33007969055325,178.42982971620714,4.724423679853889,3.3918074718392672,-88.23006435913652,1.0431651068731425
1731517764999425800,115.25242578125,199.7996107004583,1.0937203598568315,32.66687740431636,40.09539003615966,232.2096105478704,178.9573780995971,4.732136945709042,3.381037852471387,-88.23006503006323,1.566920101232309
1731517765999420000,116.252419921875,199.72613764274865,0.5710216954368661,30.724039948760804,40.09538032523802,232.13613749016076,181.38663459665443,4.725765076503276,3.3899382700118323,-88.23006598665357,1.0643966425545157
1731517766999414800,117.25241479492188,200.01478183362633,1.0895246459244543,29.874901132169693,40.09536053582478,232.42478168103844,179.39967863430297,4.732930926113518,3.379926313017352,-88.23006594669184,1.7092820018433645
1731517767999409200,118.2524091796875,199.9627638263628,0.6889140994306511,34.512597575286776,40.09535245089444,232.3727636737749,178.95655043625672,4.725588164238857,3.390184882096323,-88.23006653464668,1.1034502781984918
1731517768999404000,119.25240405273438,199.7880266206339,1.095036651808792,31.478387206094858,40.09533341421784,232.198026468046,178.22918645105756,4.733313804737399,3.379390101582119,-88.23006497400401,1.6253835529761342
1731517769999398100,120.25239819335937,200.15821602009237,0.7684992323537663,36.03114961368276,40.09532476761227,232.56821586750448,178.32353922327187,4.726508358458195,3.3889018531396946,-88.23006563592676,1.1196929780474543
1731517770999392300,121.25239233398437,199.75357387028635,1.0978259601618185,32.2762972012304,40.09530683116468,232.16357371769845,178.63318648337076,4.733801251623653,3.3787072591325775,-88.23006514753631,1.584805689743762
1731517771999387000,122.25238696289063,199.704522209242,0.8166866234239624,36.224786360764874,40.09529792460276,232.1145220566541,178.0991958735747,4.726236768735379,3.3892806078344413,-88.23006548480186,1.1378474650369932
1731517772999381500,123.25238159179688,199.51347244903445,1.092621765720104,30.34997727142118,40.09527868962952,231.92347229644656,180.2731640282082,4.731706998150418,3.38163953082572,-88.23006735512446,1.6800274614579904
1731517773999375400,124.25237524414062,199.67861363384873,0.8846540319753813,36.461145227890555,40.095270398390454,232.08861348126084,179.97255285136828,4.72485461273512,3.3912071480970445,-88.23006700341831,1.2129602342715622
1731517774999370000,125.25236987304687,199.49145267438143,0.5389099353232154,25.70708058239377,40.095256854336164,231.90145252179354,180.69187923489508,4.7267642516226225,3.388544929962013,-88.23006701380528,1.191415208609567
1731517775999364000,126.25236401367188,199.57858508545905,0.907993849207532,36.31979261192945,40.09524393143287,231.98858493287116,179.55227659275914,4.725230549537212,3.3906833067258133,-88.2300661448405,1.239079759897222
1731517776999359500,127.252359375,199.68643190618604,0.5387485516887032,25.752804059055897,40.09522964430939,232.09643175359815,179.96825320524857,4.7266106580387115,3.388759171157445,-88.23006592021703,1.1984063451691203
1731517777999353300,128.25235327148437,199.45454502291977,0.9534020343750212,36.67893496700338,40.09521635645509,231.86454487033188,181.39575006221258,4.726239577700845,3.389276690824014,-88.23006701334653,1.2559922701878234
1731517778999346700,129.2523466796875,199.6834543934092,0.46148023009378064,27.026907555052937,40.095202604340464,232.0934542408213,179.186569629018,4.726902314295365,3.388352334675065,-88.2300667530259,1.1181030415086246
1731517779999342300,130.25234228515626,199.46446946728975,0.9089742144402198,37.4696109210904,40.09518951569326,231.87446931470186,178.4793753764072,4.7267486319566245,3.3885667181103303,-88.2300667729596,1.1963712074987696
1731517780999336200,131.25233618164063,199.56909034773707,1.0844025276455118,30.086709196990185,40.09516988196997,231.97909019514918,178.97806633996169,4.732867620637093,3.3800149582973478,-88.23006682263849,1.694700295453595
1731517781999331800,132.25233178710937,199.65312565956265,0.6796560457969942,35.0372672600824,40.09516247953564,232.06312550697476,176.9663879670498,4.724967858542235,3.391049360969499,-88.23006583729038,1.0733920457942168
1731517782999325700,133.25232568359374,199.72721709311008,1.0863362337305957,31.151081062534598,40.09514336309954,232.1372169405222,179.51760693625172,4.73186108678244,3.381423914297488,-88.2300662070834,1.6399290481835598
1731517783999945200,134.2529453125,199.79856996517628,0.6841803572250731,34.49058831879501,40.09513565143815,232.2085698125884,180.89478487413595,4.723171042114975,3.3935515820030453,-88.23006657057172,1.0890055396962681
1731517784999963400,135.25296337890626,199.69731738697737,1.0586491237457145,31.400761955966622,40.095116287985384,232.10731723438948,181.88031226760341,4.731191617897971,3.382360552561009,-88.23006731684626,1.594289545689535
1731517785999960800,136.2529609375,199.7045582458377,0.8853275528502093,36.94867945027311,40.09510674484301,232.1145580932498,176.8013024810536,4.724784559526522,3.3913047487432637,-88.2300646103446,1.1985787662403964
1731517786999970800,137.252970703125,199.57348672300577,0.5396302680399334,25.91833731552224,40.09509154334727,231.98348657041788,178.31763833061433,4.726560697241935,3.3888288549404004,-88.23006396656801,1.1907390216600844
1731517787999974700,138.252974609375,199.7653524717316,0.8545619328002554,37.61964210144313,40.09507881302306,232.1753523191437,182.3068676940537,4.724519960623587,3.3916733590453747,-88.23006512832741,1.1506403702559687
